year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version
2000,Texas,TX,Anderson,48001.0,President,Al Gore,democrat,5041.0,15080,20191203
2000,Texas,TX,Anderson,48001.0,President,George W. Bush,republican,9835.0,15080,20191203
2000,Texas,TX,Anderson,48001.0,President,Ralph Nader,green,131.0,15080,20191203
2000,Texas,TX,Anderson,48001.0,President,Other,,73.0,15080,20191203
2000,Texas,TX,Andrews,48003.0,President,Al Gore,democrat,876.0,4024,20191203
2000,Texas,TX,Andrews,48003.0,President,George W. Bush,republican,3091.0,4024,20191203
2000,Texas,TX,Andrews,48003.0,President,Ralph Nader,green,28.0,4024,20191203
2000,Texas,TX,Andrews,48003.0,President,Other,,29.0,4024,20191203
2000,Texas,TX,Angelina,48005.0,President,Al Gore,democrat,9957.0,26974,20191203
2000,Texas,TX,Angelina,48005.0,President,George W. Bush,republican,16648.0,26974,20191203
2000,Texas,TX,Angelina,48005.0,President,Ralph Nader,green,245.0,26974,20191203
2000,Texas,TX,Angelina,48005.0,President,Other,,124.0,26974,20191203
2000,Texas,TX,Aransas,48007.0,President,Al Gore,democrat,2637.0,8247,20191203
2000,Texas,TX,Aransas,48007.0,President,George W. Bush,republican,5390.0,8247,20191203
2000,Texas,TX,Aransas,48007.0,President,Ralph Nader,green,182.0,8247,20191203
2000,Texas,TX,Aransas,48007.0,President,Other,,38.0,8247,20191203
2000,Texas,TX,Archer,48009.0,President,Al Gore,democrat,993.0,3997,20191203
2000,Texas,TX,Archer,48009.0,President,George W. Bush,republican,2951.0,3997,20191203
2000,Texas,TX,Archer,48009.0,President,Ralph Nader,green,36.0,3997,20191203
2000,Texas,TX,Archer,48009.0,President,Other,,17.0,3997,20191203
2000,Texas,TX,Armstrong,48011.0,President,Al Gore,democrat,150.0,938,20191203
2000,Texas,TX,Armstrong,48011.0,President,George W. Bush,republican,772.0,938,20191203
2000,Texas,TX,Armstrong,48011.0,President,Ralph Nader,green,11.0,938,20191203
2000,Texas,TX,Armstrong,48011.0,President,Other,,5.0,938,20191203
2000,Texas,TX,Atascosa,48013.0,President,Al Gore,democrat,4322.0,10746,20191203
2000,Texas,TX,Atascosa,48013.0,President,George W. Bush,republican,6231.0,10746,20191203
2000,Texas,TX,Atascosa,48013.0,President,Ralph Nader,green,130.0,10746,20191203
2000,Texas,TX,Atascosa,48013.0,President,Other,,63.0,10746,20191203
2000,Texas,TX,Austin,48015.0,President,Al Gore,democrat,2407.0,9227,20191203
2000,Texas,TX,Austin,48015.0,President,George W. Bush,republican,6661.0,9227,20191203
2000,Texas,TX,Austin,48015.0,President,Ralph Nader,green,112.0,9227,20191203
2000,Texas,TX,Austin,48015.0,President,Other,,47.0,9227,20191203
2000,Texas,TX,Bailey,48017.0,President,Al Gore,democrat,488.0,2090,20191203
2000,Texas,TX,Bailey,48017.0,President,George W. Bush,republican,1589.0,2090,20191203
2000,Texas,TX,Bailey,48017.0,President,Ralph Nader,green,6.0,2090,20191203
2000,Texas,TX,Bailey,48017.0,President,Other,,7.0,2090,20191203
2000,Texas,TX,Bandera,48019.0,President,Al Gore,democrat,1426.0,7273,20191203
2000,Texas,TX,Bandera,48019.0,President,George W. Bush,republican,5613.0,7273,20191203
2000,Texas,TX,Bandera,48019.0,President,Ralph Nader,green,157.0,7273,20191203
2000,Texas,TX,Bandera,48019.0,President,Other,,77.0,7273,20191203
2000,Texas,TX,Bastrop,48021.0,President,Al Gore,democrat,6973.0,18308,20191203
2000,Texas,TX,Bastrop,48021.0,President,George W. Bush,republican,10310.0,18308,20191203
2000,Texas,TX,Bastrop,48021.0,President,Ralph Nader,green,871.0,18308,20191203
2000,Texas,TX,Bastrop,48021.0,President,Other,,154.0,18308,20191203
2000,Texas,TX,Baylor,48023.0,President,Al Gore,democrat,663.0,1984,20191203
2000,Texas,TX,Baylor,48023.0,President,George W. Bush,republican,1285.0,1984,20191203
2000,Texas,TX,Baylor,48023.0,President,Ralph Nader,green,26.0,1984,20191203
2000,Texas,TX,Baylor,48023.0,President,Other,,10.0,1984,20191203
2000,Texas,TX,Bee,48025.0,President,Al Gore,democrat,3795.0,8330,20191203
2000,Texas,TX,Bee,48025.0,President,George W. Bush,republican,4429.0,8330,20191203
2000,Texas,TX,Bee,48025.0,President,Ralph Nader,green,66.0,8330,20191203
2000,Texas,TX,Bee,48025.0,President,Other,,40.0,8330,20191203
2000,Texas,TX,Bell,48027.0,President,Al Gore,democrat,21011.0,63291,20191203
2000,Texas,TX,Bell,48027.0,President,George W. Bush,republican,41208.0,63291,20191203
2000,Texas,TX,Bell,48027.0,President,Ralph Nader,green,728.0,63291,20191203
2000,Texas,TX,Bell,48027.0,President,Other,,344.0,63291,20191203
2000,Texas,TX,Bexar,48029.0,President,Al Gore,democrat,185158.0,412726,20191203
2000,Texas,TX,Bexar,48029.0,President,George W. Bush,republican,215613.0,412726,20191203
2000,Texas,TX,Bexar,48029.0,President,Ralph Nader,green,9790.0,412726,20191203
2000,Texas,TX,Bexar,48029.0,President,Other,,2165.0,412726,20191203
2000,Texas,TX,Blanco,48031.0,President,Al Gore,democrat,811.0,3767,20191203
2000,Texas,TX,Blanco,48031.0,President,George W. Bush,republican,2777.0,3767,20191203
2000,Texas,TX,Blanco,48031.0,President,Ralph Nader,green,140.0,3767,20191203
2000,Texas,TX,Blanco,48031.0,President,Other,,39.0,3767,20191203
2000,Texas,TX,Borden,48033.0,President,Al Gore,democrat,62.0,353,20191203
2000,Texas,TX,Borden,48033.0,President,George W. Bush,republican,283.0,353,20191203
2000,Texas,TX,Borden,48033.0,President,Ralph Nader,green,5.0,353,20191203
2000,Texas,TX,Borden,48033.0,President,Other,,3.0,353,20191203
2000,Texas,TX,Bosque,48035.0,President,Al Gore,democrat,1930.0,6770,20191203
2000,Texas,TX,Bosque,48035.0,President,George W. Bush,republican,4745.0,6770,20191203
2000,Texas,TX,Bosque,48035.0,President,Ralph Nader,green,65.0,6770,20191203
2000,Texas,TX,Bosque,48035.0,President,Other,,30.0,6770,20191203
2000,Texas,TX,Bowie,48037.0,President,Al Gore,democrat,11662.0,30320,20191203
2000,Texas,TX,Bowie,48037.0,President,George W. Bush,republican,18325.0,30320,20191203
2000,Texas,TX,Bowie,48037.0,President,Ralph Nader,green,238.0,30320,20191203
2000,Texas,TX,Bowie,48037.0,President,Other,,95.0,30320,20191203
2000,Texas,TX,Brazoria,48039.0,President,Al Gore,democrat,24883.0,80019,20191203
2000,Texas,TX,Brazoria,48039.0,President,George W. Bush,republican,53445.0,80019,20191203
2000,Texas,TX,Brazoria,48039.0,President,Ralph Nader,green,1212.0,80019,20191203
2000,Texas,TX,Brazoria,48039.0,President,Other,,479.0,80019,20191203
2000,Texas,TX,Brazos,48041.0,President,Al Gore,democrat,12359.0,46941,20191203
2000,Texas,TX,Brazos,48041.0,President,George W. Bush,republican,32864.0,46941,20191203
2000,Texas,TX,Brazos,48041.0,President,Ralph Nader,green,1351.0,46941,20191203
2000,Texas,TX,Brazos,48041.0,President,Other,,367.0,46941,20191203
2000,Texas,TX,Brewster,48043.0,President,Al Gore,democrat,1349.0,3580,20191203
2000,Texas,TX,Brewster,48043.0,President,George W. Bush,republican,1867.0,3580,20191203
2000,Texas,TX,Brewster,48043.0,President,Ralph Nader,green,306.0,3580,20191203
2000,Texas,TX,Brewster,48043.0,President,Other,,58.0,3580,20191203
2000,Texas,TX,Briscoe,48045.0,President,Al Gore,democrat,224.0,772,20191203
2000,Texas,TX,Briscoe,48045.0,President,George W. Bush,republican,544.0,772,20191203
2000,Texas,TX,Briscoe,48045.0,President,Ralph Nader,green,1.0,772,20191203
2000,Texas,TX,Briscoe,48045.0,President,Other,,3.0,772,20191203
2000,Texas,TX,Brooks,48047.0,President,Al Gore,democrat,1854.0,2431,20191203
2000,Texas,TX,Brooks,48047.0,President,George W. Bush,republican,556.0,2431,20191203
2000,Texas,TX,Brooks,48047.0,President,Ralph Nader,green,14.0,2431,20191203
2000,Texas,TX,Brooks,48047.0,President,Other,,7.0,2431,20191203
2000,Texas,TX,Brown,48049.0,President,Al Gore,democrat,3138.0,12920,20191203
2000,Texas,TX,Brown,48049.0,President,George W. Bush,republican,9609.0,12920,20191203
2000,Texas,TX,Brown,48049.0,President,Ralph Nader,green,125.0,12920,20191203
2000,Texas,TX,Brown,48049.0,President,Other,,48.0,12920,20191203
2000,Texas,TX,Burleson,48051.0,President,Al Gore,democrat,2235.0,5866,20191203
2000,Texas,TX,Burleson,48051.0,President,George W. Bush,republican,3542.0,5866,20191203
2000,Texas,TX,Burleson,48051.0,President,Ralph Nader,green,60.0,5866,20191203
2000,Texas,TX,Burleson,48051.0,President,Other,,29.0,5866,20191203
2000,Texas,TX,Burnet,48053.0,President,Al Gore,democrat,3557.0,13232,20191203
2000,Texas,TX,Burnet,48053.0,President,George W. Bush,republican,9286.0,13232,20191203
2000,Texas,TX,Burnet,48053.0,President,Ralph Nader,green,292.0,13232,20191203
2000,Texas,TX,Burnet,48053.0,President,Other,,97.0,13232,20191203
2000,Texas,TX,Caldwell,48055.0,President,Al Gore,democrat,3872.0,9425,20191203
2000,Texas,TX,Caldwell,48055.0,President,George W. Bush,republican,5216.0,9425,20191203
2000,Texas,TX,Caldwell,48055.0,President,Ralph Nader,green,266.0,9425,20191203
2000,Texas,TX,Caldwell,48055.0,President,Other,,71.0,9425,20191203
2000,Texas,TX,Calhoun,48057.0,President,Al Gore,democrat,2766.0,6563,20191203
2000,Texas,TX,Calhoun,48057.0,President,George W. Bush,republican,3724.0,6563,20191203
2000,Texas,TX,Calhoun,48057.0,President,Ralph Nader,green,43.0,6563,20191203
2000,Texas,TX,Calhoun,48057.0,President,Other,,30.0,6563,20191203
2000,Texas,TX,Callahan,48059.0,President,Al Gore,democrat,1174.0,4896,20191203
2000,Texas,TX,Callahan,48059.0,President,George W. Bush,republican,3656.0,4896,20191203
2000,Texas,TX,Callahan,48059.0,President,Ralph Nader,green,34.0,4896,20191203
2000,Texas,TX,Callahan,48059.0,President,Other,,32.0,4896,20191203
2000,Texas,TX,Cameron,48061.0,President,Al Gore,democrat,33214.0,62057,20191203
2000,Texas,TX,Cameron,48061.0,President,George W. Bush,republican,27800.0,62057,20191203
2000,Texas,TX,Cameron,48061.0,President,Ralph Nader,green,699.0,62057,20191203
2000,Texas,TX,Cameron,48061.0,President,Other,,344.0,62057,20191203
2000,Texas,TX,Camp,48063.0,President,Al Gore,democrat,1625.0,3784,20191203
2000,Texas,TX,Camp,48063.0,President,George W. Bush,republican,2121.0,3784,20191203
2000,Texas,TX,Camp,48063.0,President,Ralph Nader,green,31.0,3784,20191203
2000,Texas,TX,Camp,48063.0,President,Other,,7.0,3784,20191203
2000,Texas,TX,Carson,48065.0,President,Al Gore,democrat,480.0,2742,20191203
2000,Texas,TX,Carson,48065.0,President,George W. Bush,republican,2216.0,2742,20191203
2000,Texas,TX,Carson,48065.0,President,Ralph Nader,green,29.0,2742,20191203
2000,Texas,TX,Carson,48065.0,President,Other,,17.0,2742,20191203
2000,Texas,TX,Cass,48067.0,President,Al Gore,democrat,4618.0,11019,20191203
2000,Texas,TX,Cass,48067.0,President,George W. Bush,republican,6295.0,11019,20191203
2000,Texas,TX,Cass,48067.0,President,Ralph Nader,green,68.0,11019,20191203
2000,Texas,TX,Cass,48067.0,President,Other,,38.0,11019,20191203
2000,Texas,TX,Castro,48069.0,President,Al Gore,democrat,727.0,2354,20191203
2000,Texas,TX,Castro,48069.0,President,George W. Bush,republican,1607.0,2354,20191203
2000,Texas,TX,Castro,48069.0,President,Ralph Nader,green,7.0,2354,20191203
2000,Texas,TX,Castro,48069.0,President,Other,,13.0,2354,20191203
2000,Texas,TX,Chambers,48071.0,President,Al Gore,democrat,2888.0,9806,20191203
2000,Texas,TX,Chambers,48071.0,President,George W. Bush,republican,6769.0,9806,20191203
2000,Texas,TX,Chambers,48071.0,President,Ralph Nader,green,111.0,9806,20191203
2000,Texas,TX,Chambers,48071.0,President,Other,,38.0,9806,20191203
2000,Texas,TX,Cherokee,48073.0,President,Al Gore,democrat,4755.0,14537,20191203
2000,Texas,TX,Cherokee,48073.0,President,George W. Bush,republican,9599.0,14537,20191203
2000,Texas,TX,Cherokee,48073.0,President,Ralph Nader,green,122.0,14537,20191203
2000,Texas,TX,Cherokee,48073.0,President,Other,,61.0,14537,20191203
2000,Texas,TX,Childress,48075.0,President,Al Gore,democrat,602.0,2126,20191203
2000,Texas,TX,Childress,48075.0,President,George W. Bush,republican,1506.0,2126,20191203
2000,Texas,TX,Childress,48075.0,President,Ralph Nader,green,11.0,2126,20191203
2000,Texas,TX,Childress,48075.0,President,Other,,7.0,2126,20191203
2000,Texas,TX,Clay,48077.0,President,Al Gore,democrat,1460.0,4637,20191203
2000,Texas,TX,Clay,48077.0,President,George W. Bush,republican,3112.0,4637,20191203
2000,Texas,TX,Clay,48077.0,President,Ralph Nader,green,39.0,4637,20191203
2000,Texas,TX,Clay,48077.0,President,Other,,26.0,4637,20191203
2000,Texas,TX,Cochran,48079.0,President,Al Gore,democrat,344.0,1171,20191203
2000,Texas,TX,Cochran,48079.0,President,George W. Bush,republican,807.0,1171,20191203
2000,Texas,TX,Cochran,48079.0,President,Ralph Nader,green,11.0,1171,20191203
2000,Texas,TX,Cochran,48079.0,President,Other,,9.0,1171,20191203
2000,Texas,TX,Coke,48081.0,President,Al Gore,democrat,355.0,1515,20191203
2000,Texas,TX,Coke,48081.0,President,George W. Bush,republican,1137.0,1515,20191203
2000,Texas,TX,Coke,48081.0,President,Ralph Nader,green,14.0,1515,20191203
2000,Texas,TX,Coke,48081.0,President,Other,,9.0,1515,20191203
2000,Texas,TX,Coleman,48083.0,President,Al Gore,democrat,853.0,3578,20191203
2000,Texas,TX,Coleman,48083.0,President,George W. Bush,republican,2687.0,3578,20191203
2000,Texas,TX,Coleman,48083.0,President,Ralph Nader,green,27.0,3578,20191203
2000,Texas,TX,Coleman,48083.0,President,Other,,11.0,3578,20191203
2000,Texas,TX,Collin,48085.0,President,Al Gore,democrat,42884.0,175420,20191203
2000,Texas,TX,Collin,48085.0,President,George W. Bush,republican,128179.0,175420,20191203
2000,Texas,TX,Collin,48085.0,President,Ralph Nader,green,3195.0,175420,20191203
2000,Texas,TX,Collin,48085.0,President,Other,,1162.0,175420,20191203
2000,Texas,TX,Collingsworth,48087.0,President,Al Gore,democrat,429.0,1415,20191203
2000,Texas,TX,Collingsworth,48087.0,President,George W. Bush,republican,974.0,1415,20191203
2000,Texas,TX,Collingsworth,48087.0,President,Ralph Nader,green,6.0,1415,20191203
2000,Texas,TX,Collingsworth,48087.0,President,Other,,6.0,1415,20191203
2000,Texas,TX,Colorado,48089.0,President,Al Gore,democrat,2229.0,7249,20191203
2000,Texas,TX,Colorado,48089.0,President,George W. Bush,republican,4913.0,7249,20191203
2000,Texas,TX,Colorado,48089.0,President,Ralph Nader,green,84.0,7249,20191203
2000,Texas,TX,Colorado,48089.0,President,Other,,23.0,7249,20191203
2000,Texas,TX,Comal,48091.0,President,Al Gore,democrat,7131.0,32748,20191203
2000,Texas,TX,Comal,48091.0,President,George W. Bush,republican,24599.0,32748,20191203
2000,Texas,TX,Comal,48091.0,President,Ralph Nader,green,787.0,32748,20191203
2000,Texas,TX,Comal,48091.0,President,Other,,231.0,32748,20191203
2000,Texas,TX,Comanche,48093.0,President,Al Gore,democrat,1636.0,5022,20191203
2000,Texas,TX,Comanche,48093.0,President,George W. Bush,republican,3334.0,5022,20191203
2000,Texas,TX,Comanche,48093.0,President,Ralph Nader,green,33.0,5022,20191203
2000,Texas,TX,Comanche,48093.0,President,Other,,19.0,5022,20191203
2000,Texas,TX,Concho,48095.0,President,Al Gore,democrat,268.0,1103,20191203
2000,Texas,TX,Concho,48095.0,President,George W. Bush,republican,818.0,1103,20191203
2000,Texas,TX,Concho,48095.0,President,Ralph Nader,green,10.0,1103,20191203
2000,Texas,TX,Concho,48095.0,President,Other,,7.0,1103,20191203
2000,Texas,TX,Cooke,48097.0,President,Al Gore,democrat,3153.0,13469,20191203
2000,Texas,TX,Cooke,48097.0,President,George W. Bush,republican,10128.0,13469,20191203
2000,Texas,TX,Cooke,48097.0,President,Ralph Nader,green,124.0,13469,20191203
2000,Texas,TX,Cooke,48097.0,President,Other,,64.0,13469,20191203
2000,Texas,TX,Coryell,48099.0,President,Al Gore,democrat,4493.0,15087,20191203
2000,Texas,TX,Coryell,48099.0,President,George W. Bush,republican,10321.0,15087,20191203
2000,Texas,TX,Coryell,48099.0,President,Ralph Nader,green,202.0,15087,20191203
2000,Texas,TX,Coryell,48099.0,President,Other,,71.0,15087,20191203
2000,Texas,TX,Cottle,48101.0,President,Al Gore,democrat,241.0,757,20191203
2000,Texas,TX,Cottle,48101.0,President,George W. Bush,republican,502.0,757,20191203
2000,Texas,TX,Cottle,48101.0,President,Ralph Nader,green,3.0,757,20191203
2000,Texas,TX,Cottle,48101.0,President,Other,,11.0,757,20191203
2000,Texas,TX,Crane,48103.0,President,Al Gore,democrat,387.0,1654,20191203
2000,Texas,TX,Crane,48103.0,President,George W. Bush,republican,1246.0,1654,20191203
2000,Texas,TX,Crane,48103.0,President,Ralph Nader,green,16.0,1654,20191203
2000,Texas,TX,Crane,48103.0,President,Other,,5.0,1654,20191203
2000,Texas,TX,Crockett,48105.0,President,Al Gore,democrat,467.0,1398,20191203
2000,Texas,TX,Crockett,48105.0,President,George W. Bush,republican,924.0,1398,20191203
2000,Texas,TX,Crockett,48105.0,President,Ralph Nader,green,2.0,1398,20191203
2000,Texas,TX,Crockett,48105.0,President,Other,,5.0,1398,20191203
2000,Texas,TX,Crosby,48107.0,President,Al Gore,democrat,705.0,2002,20191203
2000,Texas,TX,Crosby,48107.0,President,George W. Bush,republican,1270.0,2002,20191203
2000,Texas,TX,Crosby,48107.0,President,Ralph Nader,green,23.0,2002,20191203
2000,Texas,TX,Crosby,48107.0,President,Other,,4.0,2002,20191203
2000,Texas,TX,Culberson,48109.0,President,Al Gore,democrat,577.0,1012,20191203
2000,Texas,TX,Culberson,48109.0,President,George W. Bush,republican,413.0,1012,20191203
2000,Texas,TX,Culberson,48109.0,President,Ralph Nader,green,12.0,1012,20191203
2000,Texas,TX,Culberson,48109.0,President,Other,,10.0,1012,20191203
2000,Texas,TX,Dallam,48111.0,President,Al Gore,democrat,341.0,1744,20191203
2000,Texas,TX,Dallam,48111.0,President,George W. Bush,republican,1385.0,1744,20191203
2000,Texas,TX,Dallam,48111.0,President,Ralph Nader,green,11.0,1744,20191203
2000,Texas,TX,Dallam,48111.0,President,Other,,7.0,1744,20191203
2000,Texas,TX,Dallas,48113.0,President,Al Gore,democrat,275308.0,613039,20191203
2000,Texas,TX,Dallas,48113.0,President,George W. Bush,republican,322345.0,613039,20191203
2000,Texas,TX,Dallas,48113.0,President,Ralph Nader,green,11671.0,613039,20191203
2000,Texas,TX,Dallas,48113.0,President,Other,,3715.0,613039,20191203
2000,Texas,TX,Dawson,48115.0,President,Al Gore,democrat,1463.0,4839,20191203
2000,Texas,TX,Dawson,48115.0,President,George W. Bush,republican,3337.0,4839,20191203
2000,Texas,TX,Dawson,48115.0,President,Ralph Nader,green,17.0,4839,20191203
2000,Texas,TX,Dawson,48115.0,President,Other,,22.0,4839,20191203
2000,Texas,TX,Deaf Smith,48117.0,President,Al Gore,democrat,1240.0,4984,20191203
2000,Texas,TX,Deaf Smith,48117.0,President,George W. Bush,republican,3687.0,4984,20191203
2000,Texas,TX,Deaf Smith,48117.0,President,Ralph Nader,green,27.0,4984,20191203
2000,Texas,TX,Deaf Smith,48117.0,President,Other,,30.0,4984,20191203
2000,Texas,TX,Delta,48119.0,President,Al Gore,democrat,726.0,1900,20191203
2000,Texas,TX,Delta,48119.0,President,George W. Bush,republican,1143.0,1900,20191203
2000,Texas,TX,Delta,48119.0,President,Ralph Nader,green,16.0,1900,20191203
2000,Texas,TX,Delta,48119.0,President,Other,,15.0,1900,20191203
2000,Texas,TX,Denton,48121.0,President,Al Gore,democrat,40144.0,146790,20191203
2000,Texas,TX,Denton,48121.0,President,George W. Bush,republican,102171.0,146790,20191203
2000,Texas,TX,Denton,48121.0,President,Ralph Nader,green,3430.0,146790,20191203
2000,Texas,TX,Denton,48121.0,President,Other,,1045.0,146790,20191203
2000,Texas,TX,Dewitt,48123.0,President,Al Gore,democrat,1570.0,6183,20191203
2000,Texas,TX,Dewitt,48123.0,President,George W. Bush,republican,4541.0,6183,20191203
2000,Texas,TX,Dewitt,48123.0,President,Ralph Nader,green,53.0,6183,20191203
2000,Texas,TX,Dewitt,48123.0,President,Other,,19.0,6183,20191203
2000,Texas,TX,Dickens,48125.0,President,Al Gore,democrat,284.0,881,20191203
2000,Texas,TX,Dickens,48125.0,President,George W. Bush,republican,589.0,881,20191203
2000,Texas,TX,Dickens,48125.0,President,Ralph Nader,green,3.0,881,20191203
2000,Texas,TX,Dickens,48125.0,President,Other,,5.0,881,20191203
2000,Texas,TX,Dimmit,48127.0,President,Al Gore,democrat,2678.0,3753,20191203
2000,Texas,TX,Dimmit,48127.0,President,George W. Bush,republican,1032.0,3753,20191203
2000,Texas,TX,Dimmit,48127.0,President,Ralph Nader,green,20.0,3753,20191203
2000,Texas,TX,Dimmit,48127.0,President,Other,,23.0,3753,20191203
2000,Texas,TX,Donley,48129.0,President,Al Gore,democrat,360.0,1719,20191203
2000,Texas,TX,Donley,48129.0,President,George W. Bush,republican,1333.0,1719,20191203
2000,Texas,TX,Donley,48129.0,President,Ralph Nader,green,18.0,1719,20191203
2000,Texas,TX,Donley,48129.0,President,Other,,8.0,1719,20191203
2000,Texas,TX,Duval,48131.0,President,Al Gore,democrat,3990.0,5030,20191203
2000,Texas,TX,Duval,48131.0,President,George W. Bush,republican,1010.0,5030,20191203
2000,Texas,TX,Duval,48131.0,President,Ralph Nader,green,22.0,5030,20191203
2000,Texas,TX,Duval,48131.0,President,Other,,8.0,5030,20191203
2000,Texas,TX,Eastland,48133.0,President,Al Gore,democrat,1774.0,6414,20191203
2000,Texas,TX,Eastland,48133.0,President,George W. Bush,republican,4531.0,6414,20191203
2000,Texas,TX,Eastland,48133.0,President,Ralph Nader,green,56.0,6414,20191203
2000,Texas,TX,Eastland,48133.0,President,Other,,53.0,6414,20191203
2000,Texas,TX,Ector,48135.0,President,Al Gore,democrat,9425.0,32901,20191203
2000,Texas,TX,Ector,48135.0,President,George W. Bush,republican,22893.0,32901,20191203
2000,Texas,TX,Ector,48135.0,President,Ralph Nader,green,378.0,32901,20191203
2000,Texas,TX,Ector,48135.0,President,Other,,205.0,32901,20191203
2000,Texas,TX,Edwards,48137.0,President,Al Gore,democrat,261.0,937,20191203
2000,Texas,TX,Edwards,48137.0,President,George W. Bush,republican,663.0,937,20191203
2000,Texas,TX,Edwards,48137.0,President,Ralph Nader,green,6.0,937,20191203
2000,Texas,TX,Edwards,48137.0,President,Other,,7.0,937,20191203
2000,Texas,TX,Ellis,48139.0,President,Al Gore,democrat,10629.0,37307,20191203
2000,Texas,TX,Ellis,48139.0,President,George W. Bush,republican,26091.0,37307,20191203
2000,Texas,TX,Ellis,48139.0,President,Ralph Nader,green,377.0,37307,20191203
2000,Texas,TX,Ellis,48139.0,President,Other,,210.0,37307,20191203
2000,Texas,TX,El Paso,48141.0,President,Al Gore,democrat,83848.0,145042,20191203
2000,Texas,TX,El Paso,48141.0,President,George W. Bush,republican,57574.0,145042,20191203
2000,Texas,TX,El Paso,48141.0,President,Ralph Nader,green,2840.0,145042,20191203
2000,Texas,TX,El Paso,48141.0,President,Other,,780.0,145042,20191203
2000,Texas,TX,Erath,48143.0,President,Al Gore,democrat,2804.0,11115,20191203
2000,Texas,TX,Erath,48143.0,President,George W. Bush,republican,8126.0,11115,20191203
2000,Texas,TX,Erath,48143.0,President,Ralph Nader,green,129.0,11115,20191203
2000,Texas,TX,Erath,48143.0,President,Other,,56.0,11115,20191203
2000,Texas,TX,Falls,48145.0,President,Al Gore,democrat,2417.0,5715,20191203
2000,Texas,TX,Falls,48145.0,President,George W. Bush,republican,3239.0,5715,20191203
2000,Texas,TX,Falls,48145.0,President,Ralph Nader,green,33.0,5715,20191203
2000,Texas,TX,Falls,48145.0,President,Other,,26.0,5715,20191203
2000,Texas,TX,Fannin,48147.0,President,Al Gore,democrat,4102.0,10340,20191203
2000,Texas,TX,Fannin,48147.0,President,George W. Bush,republican,6074.0,10340,20191203
2000,Texas,TX,Fannin,48147.0,President,Ralph Nader,green,110.0,10340,20191203
2000,Texas,TX,Fannin,48147.0,President,Other,,54.0,10340,20191203
2000,Texas,TX,Fayette,48149.0,President,Al Gore,democrat,2542.0,9387,20191203
2000,Texas,TX,Fayette,48149.0,President,George W. Bush,republican,6658.0,9387,20191203
2000,Texas,TX,Fayette,48149.0,President,Ralph Nader,green,132.0,9387,20191203
2000,Texas,TX,Fayette,48149.0,President,Other,,55.0,9387,20191203
2000,Texas,TX,Fisher,48151.0,President,Al Gore,democrat,884.0,1872,20191203
2000,Texas,TX,Fisher,48151.0,President,George W. Bush,republican,968.0,1872,20191203
2000,Texas,TX,Fisher,48151.0,President,Ralph Nader,green,11.0,1872,20191203
2000,Texas,TX,Fisher,48151.0,President,Other,,9.0,1872,20191203
2000,Texas,TX,Floyd,48153.0,President,Al Gore,democrat,580.0,2420,20191203
2000,Texas,TX,Floyd,48153.0,President,George W. Bush,republican,1830.0,2420,20191203
2000,Texas,TX,Floyd,48153.0,President,Ralph Nader,green,8.0,2420,20191203
2000,Texas,TX,Floyd,48153.0,President,Other,,2.0,2420,20191203
2000,Texas,TX,Foard,48155.0,President,Al Gore,democrat,263.0,556,20191203
2000,Texas,TX,Foard,48155.0,President,George W. Bush,republican,286.0,556,20191203
2000,Texas,TX,Foard,48155.0,President,Ralph Nader,green,5.0,556,20191203
2000,Texas,TX,Foard,48155.0,President,Other,,2.0,556,20191203
2000,Texas,TX,Fort Bend,48157.0,President,Al Gore,democrat,47569.0,123509,20191203
2000,Texas,TX,Fort Bend,48157.0,President,George W. Bush,republican,73567.0,123509,20191203
2000,Texas,TX,Fort Bend,48157.0,President,Ralph Nader,green,1953.0,123509,20191203
2000,Texas,TX,Fort Bend,48157.0,President,Other,,420.0,123509,20191203
2000,Texas,TX,Franklin,48159.0,President,Al Gore,democrat,1018.0,3472,20191203
2000,Texas,TX,Franklin,48159.0,President,George W. Bush,republican,2420.0,3472,20191203
2000,Texas,TX,Franklin,48159.0,President,Ralph Nader,green,22.0,3472,20191203
2000,Texas,TX,Franklin,48159.0,President,Other,,12.0,3472,20191203
2000,Texas,TX,Freestone,48161.0,President,Al Gore,democrat,2316.0,6641,20191203
2000,Texas,TX,Freestone,48161.0,President,George W. Bush,republican,4247.0,6641,20191203
2000,Texas,TX,Freestone,48161.0,President,Ralph Nader,green,46.0,6641,20191203
2000,Texas,TX,Freestone,48161.0,President,Other,,32.0,6641,20191203
2000,Texas,TX,Frio,48163.0,President,Al Gore,democrat,2317.0,4128,20191203
2000,Texas,TX,Frio,48163.0,President,George W. Bush,republican,1774.0,4128,20191203
2000,Texas,TX,Frio,48163.0,President,Ralph Nader,green,23.0,4128,20191203
2000,Texas,TX,Frio,48163.0,President,Other,,14.0,4128,20191203
2000,Texas,TX,Gaines,48165.0,President,Al Gore,democrat,723.0,3459,20191203
2000,Texas,TX,Gaines,48165.0,President,George W. Bush,republican,2691.0,3459,20191203
2000,Texas,TX,Gaines,48165.0,President,Ralph Nader,green,23.0,3459,20191203
2000,Texas,TX,Gaines,48165.0,President,Other,,22.0,3459,20191203
2000,Texas,TX,Galveston,48167.0,President,Al Gore,democrat,40020.0,92983,20191203
2000,Texas,TX,Galveston,48167.0,President,George W. Bush,republican,50397.0,92983,20191203
