year,district,office,candidate,party,votes,percentage
2018,11,U.S. Senate,Dikeman,LIB,303,0.5
2018,11,Governor,Abbott,REP,47835,76.3
2018,11,Governor,Valdez,DEM,14264,22.8
2018,11,Governor,Tippetts,LIB,568,0.9
2018,11,Lieutenant Governor,Patrick,REP,44393,71.4
2018,11,Lieutenant Governor,Collier,DEM,16881,27.1
2018,11,Lieutenant Governor,McKennon,LIB,933,1.5
2018,11,Attorney General,Paxton,REP,45610,73.4
2018,12,U.S. Senate,Cruz,REP,42707,70.4
2018,12,U.S. Senate,O'Rourke,DEM,17488,28.8
2018,12,U.S. Senate,Dikeman,LIB,435,0.7
2018,12,Governor,Abbott,REP,44537,73.6
2018,12,Governor,Valdez,DEM,15193,25.1
2018,12,Governor,Tippetts,LIB,820,1.4
2018,12,Lieutenant Governor,Patrick,REP,41318,68.5
2018,12,Lieutenant Governor,Collier,DEM,17830,29.5
2018,12,Lieutenant Governor,McKennon,LIB,1194,2.0
2018,12,Attorney General,Paxton,REP,41565,69.2
2018,13,U.S. Senate,Cruz,REP,39131,70.5
2018,13,U.S. Senate,O'Rourke,DEM,16007,28.9
2018,13,U.S. Senate,Dikeman,LIB,330,0.6
2018,13,Governor,Abbott,REP,40588,73.2
2018,13,Governor,Valdez,DEM,14310,25.8
2018,13,Governor,Tippetts,LIB,560,1.0
2018,13,Lieutenant Governor,Patrick,REP,37526,68.0
2018,13,Lieutenant Governor,Collier,DEM,16719,30.3
2018,13,Lieutenant Governor,McKennon,LIB,913,1.7
2018,13,Attorney General,Paxton,REP,37878,68.8
2018,14,U.S. Senate,Cruz,REP,28748,53.3
2018,14,U.S. Senate,O'Rourke,DEM,24593,45.6
2018,14,U.S. Senate,Dikeman,LIB,551,1.0
2018,14,Governor,Abbott,REP,31818,59.4
2018,14,Governor,Valdez,DEM,20559,38.4
2018,14,Governor,Tippetts,LIB,1220,2.3
2018,14,Lieutenant Governor,Patrick,REP,28663,53.9
2018,14,Lieutenant Governor,Collier,DEM,22721,42.7
2018,14,Lieutenant Governor,McKennon,LIB,1788,3.4
2018,14,Attorney General,Paxton,REP,28743,54.2
2018,15,U.S. Senate,Cruz,REP,44053,63.7
2018,15,U.S. Senate,O'Rourke,DEM,24515,35.5
2018,15,U.S. Senate,Dikeman,LIB,568,0.8
2018,15,Governor,Abbott,REP,47524,68.8
2018,15,Governor,Valdez,DEM,20402,29.6
2018,15,Governor,Tippetts,LIB,1103,1.6
2018,15,Lieutenant Governor,Patrick,REP,44555,64.7
2018,15,Lieutenant Governor,Collier,DEM,22773,33.1
2018,15,Lieutenant Governor,McKennon,LIB,1518,2.2
2018,15,Attorney General,Paxton,REP,43752,63.7
2018,16,U.S. Senate,Cruz,REP,44109,77.4
2018,16,U.S. Senate,O'Rourke,DEM,12471,21.9
2018,16,U.S. Senate,Dikeman,LIB,405,0.7
2018,16,Governor,Abbott,REP,45739,80.0
2018,16,Governor,Valdez,DEM,10712,18.7
2018,16,Governor,Tippetts,LIB,696,1.2
2018,16,Lieutenant Governor,Patrick,REP,43873,77.0
2018,16,Lieutenant Governor,Collier,DEM,12136,21.3
2018,16,Lieutenant Governor,McKennon,LIB,992,1.7
2018,16,Attorney General,Paxton,REP,43519,76.5
2018,17,U.S. Senate,Cruz,REP,36702,61.9
2018,17,U.S. Senate,O'Rourke,DEM,22055,37.2
2018,17,U.S. Senate,Dikeman,LIB,570,1.0
2018,17,Governor,Abbott,REP,39058,65.9
2018,17,Governor,Valdez,DEM,19117,32.2
2018,17,Governor,Tippetts,LIB,1105,1.9
2018,17,Lieutenant Governor,Patrick,REP,35954,60.9
2018,17,Lieutenant Governor,Collier,DEM,21552,36.5
2018,17,Lieutenant Governor,McKennon,LIB,1529,2.6
2018,17,Attorney General,Paxton,REP,35340,60.0
2018,18,U.S. Senate,Cruz,REP,45938,81.8
2018,18,U.S. Senate,O'Rourke,DEM,9927,17.7
2018,18,U.S. Senate,Dikeman,LIB,284,0.5
2018,18,Governor,Abbott,REP,46931,83.7
2018,18,Governor,Valdez,DEM,8610,15.4
2018,18,Governor,Tippetts,LIB,512,0.9
2018,18,Lieutenant Governor,Patrick,REP,44961,80.4
2018,18,Lieutenant Governor,Collier,DEM,10115,18.1
2018,18,Lieutenant Governor,McKennon,LIB,821,1.5
2018,18,Attorney General,Paxton,REP,44659,80.3
2018,19,U.S. Senate,Cruz,REP,60931,69.5
2018,19,U.S. Senate,O'Rourke,DEM,25969,29.6
2018,19,U.S. Senate,Dikeman,LIB,812,0.9
2018,19,Governor,Abbott,REP,64597,73.8
2018,19,Governor,Valdez,DEM,21286,24.3
2018,19,Governor,Tippetts,LIB,1688,1.9
2018,19,Lieutenant Governor,Patrick,REP,60271,69.0
2018,19,Lieutenant Governor,Collier,DEM,24908,28.5
2018,19,Lieutenant Governor,McKennon,LIB,2142,2.5
2018,19,Attorney General,Paxton,REP,58998,68.2
2018,20,U.S. Senate,Cruz,REP,43418,56.1
2018,20,U.S. Senate,O'Rourke,DEM,33079,42.7
2018,20,U.S. Senate,Dikeman,LIB,946,1.2
2018,20,Governor,Abbott,REP,47722,61.8
2018,20,Governor,Valdez,DEM,27715,35.9
2018,20,Governor,Tippetts,LIB,1840,2.4
2018,20,Lieutenant Governor,Patrick,REP,43808,56.9
2018,20,Lieutenant Governor,Collier,DEM,30885,40.1
2018,20,Lieutenant Governor,McKennon,LIB,2323,3.0
2018,20,Attorney General,Paxton,REP,42532,55.4
2018,21,U.S. Senate,Cruz,REP,49150,76.9
2018,21,U.S. Senate,O'Rourke,DEM,14471,22.6
2018,21,U.S. Senate,Dikeman,LIB,323,0.5
2018,21,Governor,Abbott,REP,50728,79.4
2018,21,Governor,Valdez,DEM,12513,19.6
2018,21,Governor,Tippetts,LIB,620,1.0
2018,21,Lieutenant Governor,Patrick,REP,47944,75.5
2018,21,Lieutenant Governor,Collier,DEM,14642,23.1
2018,21,Lieutenant Governor,McKennon,LIB,910,1.4
2018,21,Attorney General,Paxton,REP,48065,75.7
2018,22,U.S. Senate,Cruz,REP,18174,37.6
2018,22,U.S. Senate,O'Rourke,DEM,29896,61.9
2018,22,U.S. Senate,Dikeman,LIB,221,0.5
2018,22,Governor,Abbott,REP,19644,40.6
2018,22,Governor,Valdez,DEM,28263,58.5
2018,22,Governor,Tippetts,LIB,428,0.9
2018,22,Lieutenant Governor,Patrick,REP,17918,37.3
2018,22,Lieutenant Governor,Collier,DEM,29619,61.6
2018,22,Lieutenant Governor,McKennon,LIB,526,1.1
2018,22,Attorney General,Paxton,REP,17767,36.9
2018,23,U.S. Senate,Cruz,REP,34376,58.1
2018,23,U.S. Senate,O'Rourke,DEM,24336,41.1
