year,district,office,candidate,party,votes,percentage
2018,16,Lieutenant Governor,Patrick,R,80790,35.2
2018,16,Lieutenant Governor,Collier,D,143259,62.5
2018,16,Lieutenant Governor,McKennon,L,5256,2.3
2018,16,Attorney General,Paxton,R,77779,33.9
2018,17,U.S. Senate,Cruz,R,172258,58.8
2018,17,U.S. Senate,O'Rourke,D,118322,40.4
2018,17,U.S. Senate,Dikeman,L,2166,0.7
2018,17,Governor,Abbott,R,187425,64.1
2018,17,Governor,Valdez,D,100433,34.4
2018,17,Governor,Tippetts,L,4347,1.5
2018,17,Lieutenant Governor,Patrick,R,172436,59.2
2018,17,Lieutenant Governor,Collier,D,113585,39.0
2018,17,Lieutenant Governor,McKennon,L,5453,1.9
2018,17,Attorney General,Paxton,R,169312,58.2
2018,18,U.S. Senate,Cruz,R,164888,59.2
2018,18,U.S. Senate,O'Rourke,D,112035,40.2
2018,18,U.S. Senate,Dikeman,L,1754,0.6
2018,18,Governor,Abbott,R,175740,63.1
2018,18,Governor,Valdez,D,99291,35.7
2018,18,Governor,Tippetts,L,3425,1.2
2018,18,Lieutenant Governor,Patrick,R,163586,59.0
2018,18,Lieutenant Governor,Collier,D,109169,39.4
2018,18,Lieutenant Governor,McKennon,L,4582,1.7
2018,18,Attorney General,Paxton,R,161620,58.4
2018,19,U.S. Senate,Cruz,R,84806,40.0
2018,19,U.S. Senate,O'Rourke,D,125071,59.0
2018,19,U.S. Senate,Dikeman,L,1934,0.9
2018,19,Governor,Abbott,R,97357,46.3
2018,19,Governor,Valdez,D,109848,52.2
2018,19,Governor,Tippetts,L,3276,1.6
2018,19,Lieutenant Governor,Patrick,R,87811,42.0
2018,19,Lieutenant Governor,Collier,D,116520,55.7
2018,19,Lieutenant Governor,McKennon,L,4803,2.3
2018,19,Attorney General,Paxton,R,82934,39.7
2018,20,U.S. Senate,Cruz,R,71946,37.8
2018,20,U.S. Senate,O'Rourke,D,117335,61.6
2018,20,U.S. Senate,Dikeman,L,1195,0.6
2018,20,Governor,Abbott,R,84648,44.6
2018,20,Governor,Valdez,D,102773,54.2
2018,20,Governor,Tippetts,L,2323,1.2
2018,20,Lieutenant Governor,Patrick,R,71453,38.0
2018,20,Lieutenant Governor,Collier,D,112551,59.9
2018,20,Lieutenant Governor,McKennon,L,3894,2.1
2018,20,Attorney General,Paxton,R,69570,37.1
2018,21,U.S. Senate,Cruz,R,75693,34.5
2018,21,U.S. Senate,O'Rourke,D,142053,64.7
2018,21,U.S. Senate,Dikeman,L,1933,0.9
2018,21,Governor,Abbott,R,86259,39.6
2018,21,Governor,Valdez,D,127417,58.5
2018,21,Governor,Tippetts,L,4038,1.9
2018,21,Lieutenant Governor,Patrick,R,75215,34.9
2018,21,Lieutenant Governor,Collier,D,133852,62.2
2018,21,Lieutenant Governor,McKennon,L,6176,2.9
2018,21,Attorney General,Paxton,R,71659,33.4
2018,22,U.S. Senate,Cruz,R,174041,60.4
2018,22,U.S. Senate,O'Rourke,D,111695,38.8
2018,22,U.S. Senate,Dikeman,L,2192,0.8
2018,22,Governor,Abbott,R,186047,64.7
2018,22,Governor,Valdez,D,97006,33.7
2018,22,Governor,Tippetts,L,4516,1.6
2018,22,Lieutenant Governor,Patrick,R,171463,59.8
2018,22,Lieutenant Governor,Collier,D,108737,38.0
2018,22,Lieutenant Governor,McKennon,L,6327,2.2
2018,22,Attorney General,Paxton,R,170248,59.6
2018,23,U.S. Senate,Cruz,R,51886,19.6
2018,23,U.S. Senate,O'Rourke,D,210910,79.8
2018,23,U.S. Senate,Dikeman,L,1619,0.6
2018,23,Governor,Abbott,R,64583,24.5
2018,23,Governor,Valdez,D,192969,73.4
2018,23,Governor,Tippetts,L,5523,2.1
2018,23,Lieutenant Governor,Patrick,R,54765,20.9
2018,23,Lieutenant Governor,Collier,D,202000,77.1
2018,23,Lieutenant Governor,McKennon,L,5292,2.0
2018,23,Attorney General,Paxton,R,52248,19.9
2018,24,U.S. Senate,Cruz,R,171146,59.3
2018,24,U.S. Senate,O'Rourke,D,114430,39.7
2018,24,U.S. Senate,Dikeman,L,2803,1.0
2018,24,Governor,Abbott,R,184102,63.9
2018,24,Governor,Valdez,D,98382,34.2
2018,24,Governor,Tippetts,L,5472,1.9
2018,24,Lieutenant Governor,Patrick,R,170879,59.5
2018,24,Lieutenant Governor,Collier,D,108709,37.9
2018,24,Lieutenant Governor,McKennon,L,7416,2.6
2018,24,Attorney General,Paxton,R,167851,58.7
2018,25,U.S. Senate,Cruz,R,214927,59.3
2018,25,U.S. Senate,O'Rourke,D,144052,39.7
2018,25,U.S. Senate,Dikeman,L,3441,0.9
2018,25,Governor,Abbott,R,234693,64.9
2018,25,Governor,Valdez,D,119948,33.2
2018,25,Governor,Tippetts,L,7019,1.9
