year,district,office,candidate,party,votes,percentage
2018,109,Lieutenant Governor,Collier,DEM,43701,77.7
2018,109,Lieutenant Governor,Patrick,REP,11559,20.6
2018,109,Lieutenant Governor,McKennon,LIB,979,1.7
2018,109,U.S. Senate,O'Rourke,DEM,45246,79.9
2018,109,U.S. Senate,Cruz,REP,11056,19.5
2018,109,U.S. Senate,Dikeman,LIB,296,0.5
2018,11,Attorney General,Paxton,REP,45610,73.4
2018,11,Governor,Abbott,REP,47835,76.3
2018,11,Governor,Valdez,DEM,14264,22.8
2018,11,Governor,Tippetts,LIB,568,0.9
2018,11,Lieutenant Governor,Patrick,REP,44393,71.4
2018,11,Lieutenant Governor,Collier,DEM,16881,27.1
2018,11,Lieutenant Governor,McKennon,LIB,933,1.5
2018,11,U.S. Senate,Cruz,REP,46614,74.1
2018,11,U.S. Senate,O'Rourke,DEM,15949,25.4
2018,11,U.S. Senate,Dikeman,LIB,303,0.5
2018,110,Attorney General,Paxton,REP,3617,11.2
2018,110,Governor,Valdez,DEM,27484,84.6
2018,110,Governor,Abbott,REP,4499,13.9
2018,110,Governor,Tippetts,LIB,492,1.5
2018,110,Lieutenant Governor,Collier,DEM,28058,86.7
2018,110,Lieutenant Governor,Patrick,REP,3799,11.7
2018,110,Lieutenant Governor,McKennon,LIB,506,1.6
2018,110,U.S. Senate,O'Rourke,DEM,28881,88.6
2018,110,U.S. Senate,Cruz,REP,3538,10.9
2018,110,U.S. Senate,Dikeman,LIB,174,0.5
2018,111,Attorney General,Paxton,REP,11309,19.8
2018,111,Governor,Valdez,DEM,42038,73.4
2018,111,Governor,Abbott,REP,14158,24.7
2018,111,Governor,Tippetts,LIB,1081,1.9
2018,111,Lieutenant Governor,Collier,DEM,44273,77.5
2018,111,Lieutenant Governor,Patrick,REP,11913,20.8
2018,111,Lieutenant Governor,McKennon,LIB,962,1.7
2018,111,U.S. Senate,O'Rourke,DEM,45793,79.6
2018,111,U.S. Senate,Cruz,REP,11382,19.8
2018,111,U.S. Senate,Dikeman,LIB,330,0.6
2018,112,Attorney General,Paxton,REP,37118,50.8
2018,112,Governor,Abbott,REP,42515,57.8
2018,112,Governor,Valdez,DEM,29470,40.1
2018,112,Governor,Tippetts,LIB,1573,2.1
2018,112,Lieutenant Governor,Patrick,REP,38226,52.3
2018,112,Lieutenant Governor,Collier,DEM,33290,45.5
2018,112,Lieutenant Governor,McKennon,LIB,1616,2.2
2018,112,U.S. Senate,Cruz,REP,37670,51.0
2018,112,U.S. Senate,O'Rourke,DEM,35511,48.1
2018,112,U.S. Senate,Dikeman,LIB,624,0.8
2018,113,Attorney General,Paxton,REP,20397,39.1
2018,113,Governor,Valdez,DEM,28528,54.3
2018,113,Governor,Abbott,REP,23111,44.0
2018,113,Governor,Tippetts,LIB,872,1.7
2018,113,Lieutenant Governor,Collier,DEM,30234,57.9
2018,113,Lieutenant Governor,Patrick,REP,20982,40.2
2018,113,Lieutenant Governor,McKennon,LIB,993,1.9
2018,113,U.S. Senate,O'Rourke,DEM,31815,60.4
2018,113,U.S. Senate,Cruz,REP,20487,38.9
2018,113,U.S. Senate,Dikeman,LIB,376,0.7
2018,114,Attorney General,Paxton,REP,18242,29.7
2018,114,Governor,Valdez,DEM,37431,60.7
2018,114,Governor,Abbott,REP,22392,36.3
2018,114,Governor,Tippetts,LIB,1891,3.1
2018,114,Lieutenant Governor,Collier,DEM,40555,66.0
2018,114,Lieutenant Governor,Patrick,REP,18972,30.9
2018,114,Lieutenant Governor,McKennon,LIB,1909,3.1
2018,114,U.S. Senate,O'Rourke,DEM,43767,70.3
2018,114,U.S. Senate,Cruz,REP,17895,28.7
2018,114,U.S. Senate,Dikeman,LIB,603,1.0
2018,115,Attorney General,Paxton,REP,24579,41.2
2018,115,Governor,Valdez,DEM,29811,49.7
2018,115,Governor,Abbott,REP,28920,48.2
2018,115,Governor,Tippetts,LIB,1285,2.1
2018,115,Lieutenant Governor,Collier,DEM,32723,54.8
2018,115,Lieutenant Governor,Patrick,REP,25436,42.6
2018,115,Lieutenant Governor,McKennon,LIB,1546,2.6
2018,115,U.S. Senate,O'Rourke,DEM,35148,58.2
2018,115,U.S. Senate,Cruz,REP,24682,40.9
2018,115,U.S. Senate,Dikeman,LIB,531,0.9
2018,116,Attorney General,Paxton,REP,14559,28.6
2018,116,Governor,Valdez,DEM,32419,63.5
2018,116,Governor,Abbott,REP,17608,34.5
2018,116,Governor,Tippetts,LIB,1032,2.0
2018,116,Lieutenant Governor,Collier,DEM,33818,66.5
2018,116,Lieutenant Governor,Patrick,REP,15708,30.9
2018,116,Lieutenant Governor,McKennon,LIB,1346,2.6
2018,116,U.S. Senate,O'Rourke,DEM,36372,70.7
2018,116,U.S. Senate,Cruz,REP,14583,28.4
2018,116,U.S. Senate,Dikeman,LIB,466,0.9
