year,district,office,candidate,party,votes,percentage
2020,STATE,President,Biden,D,5257513,46.5
2020,STATE,President,Trump,R,5889022,52.0
2020,STATE,President,Jorgensen,L,126212,1.1
2020,STATE,President,Hawkins,G,33378,0.3
2020,STATE,President,Write-In,W,10927,0.1
2020,STATE,U.S. Senate,Cornyn,R,5961643,53.5
2020,STATE,U.S. Senate,Hegar,D,4887309,43.9
2020,STATE,U.S. Senate,McKennon,L,209623,1.9
2020,STATE,U.S. Senate,Collins,G,81753,0.7
2020,STATE,Railroad Commissioner,Castaneda,D,4791167,43.6
2020,1,President,Biden,D,20817,24.5
2020,1,President,Trump,R,63142,74.4
2020,1,President,Jorgensen,L,617,0.7
2020,1,President,Hawkins,G,151,0.2
2020,1,President,Write-In,W,95,0.1
2020,1,U.S. Senate,Cornyn,R,62240,74.3
2020,1,U.S. Senate,Hegar,D,20105,24.0
2020,1,U.S. Senate,McKennon,L,1024,1.2
2020,1,U.S. Senate,Collins,G,345,0.4
2020,1,Railroad Commissioner,Castaneda,D,19269,23.2
2020,2,President,Biden,D,15468,19.2
2020,2,President,Trump,R,64152,79.7
2020,2,President,Jorgensen,L,752,0.9
2020,2,President,Hawkins,G,135,0.2
2020,2,President,Write-In,W,25,0.0
2020,2,U.S. Senate,Cornyn,R,63395,79.8
2020,2,U.S. Senate,Hegar,D,14526,18.3
2020,2,U.S. Senate,McKennon,L,1146,1.4
2020,2,U.S. Senate,Collins,G,411,0.5
2020,2,Railroad Commissioner,Castaneda,D,14018,17.9
2020,3,President,Biden,D,19156,22.8
2020,3,President,Trump,R,63628,75.8
2020,3,President,Jorgensen,L,944,1.1
2020,3,President,Hawkins,G,167,0.2
2020,3,President,Write-In,W,15,0.0
2020,3,U.S. Senate,Cornyn,R,63470,76.4
2020,3,U.S. Senate,Hegar,D,17788,21.4
2020,3,U.S. Senate,McKennon,L,1485,1.8
2020,3,U.S. Senate,Collins,G,343,0.4
2020,3,Railroad Commissioner,Castaneda,D,17087,20.8
2020,4,President,Biden,D,22799,29.5
2020,4,President,Trump,R,53449,69.3
2020,4,President,Jorgensen,L,686,0.9
2020,4,President,Hawkins,G,193,0.3
2020,4,President,Write-In,W,38,0.0
2020,4,U.S. Senate,Cornyn,R,53342,69.5
2020,4,U.S. Senate,Hegar,D,21663,28.2
2020,4,U.S. Senate,McKennon,L,1295,1.7
2020,4,U.S. Senate,Collins,G,469,0.6
2020,4,Railroad Commissioner,Castaneda,D,21276,27.8
2020,5,President,Biden,D,15863,19.1
2020,5,President,Trump,R,66126,79.8
2020,5,President,Jorgensen,L,722,0.9
2020,5,President,Hawkins,G,150,0.2
2020,5,President,Write-In,W,13,0.0
2020,5,U.S. Senate,Cornyn,R,65219,79.6
2020,5,U.S. Senate,Hegar,D,15274,18.6
2020,5,U.S. Senate,McKennon,L,1173,1.4
2020,5,U.S. Senate,Collins,G,314,0.4
2020,5,Railroad Commissioner,Castaneda,D,14509,17.9
2020,6,President,Biden,D,25230,31.3
2020,6,President,Trump,R,54163,67.3
2020,6,President,Jorgensen,L,926,1.1
2020,6,President,Hawkins,G,205,0.3
2020,6,President,Write-In,W,0,0.0
2020,6,U.S. Senate,Cornyn,R,54665,68.0
2020,6,U.S. Senate,Hegar,D,24129,30.0
2020,6,U.S. Senate,McKennon,L,1227,1.5
2020,6,U.S. Senate,Collins,G,369,0.5
2020,6,Railroad Commissioner,Castaneda,D,23164,29.0
2020,7,President,Biden,D,24035,29.1
2020,7,President,Trump,R,57418,69.6
2020,7,President,Jorgensen,L,892,1.1
