year,district,office,candidate,party,votes,percentage
2024,11,U.S. Senate,Roche,W,5,0.0
2024,12,President,Harris,D,117722,37.5
2024,12,President,Oliver,L,2030,0.6
2024,12,President,Stein,G,1482,0.5
2024,12,President,Trump,R,192704,61.3
2024,12,President,Write-In,W,231,0.1
2024,12,U.S. Senate,Allred,D,124201,39.6
2024,12,U.S. Senate,Andrus,W,16,0.0
2024,12,U.S. Senate,Brown,L,7626,2.4
2024,12,U.S. Senate,Cruz,R,181525,57.9
2024,12,U.S. Senate,Roche,W,59,0.0
2024,13,President,Harris,D,80160,26.4
2024,13,President,Oliver,L,1761,0.6
2024,13,President,Stein,G,1253,0.4
2024,13,President,Trump,R,220451,72.5
2024,13,President,Write-In,W,290,0.1
2024,13,U.S. Senate,Allred,D,83426,27.6
2024,13,U.S. Senate,Andrus,W,45,0.0
2024,13,U.S. Senate,Brown,L,6331,2.1
2024,13,U.S. Senate,Cruz,R,212424,70.3
2024,13,U.S. Senate,Roche,W,87,0.0
2024,14,President,Harris,D,114078,35.3
2024,14,President,Oliver,L,1816,0.6
2024,14,President,Stein,G,1721,0.5
2024,14,President,Trump,R,205046,63.5
2024,14,President,Write-In,W,233,0.1
2024,14,U.S. Senate,Allred,D,119046,37.1
2024,14,U.S. Senate,Andrus,W,17,0.0
2024,14,U.S. Senate,Brown,L,7395,2.3
2024,14,U.S. Senate,Cruz,R,194172,60.6
2024,14,U.S. Senate,Roche,W,31,0.0
2024,15,President,Harris,D,92594,40.6
2024,15,President,Oliver,L,879,0.4
2024,15,President,Stein,G,987,0.4
2024,15,President,Trump,R,133260,58.5
2024,15,President,Write-In,W,92,0.0
2024,15,U.S. Senate,Allred,D,98313,44.1
2024,15,U.S. Senate,Andrus,W,10,0.0
2024,15,U.S. Senate,Brown,L,5154,2.3
2024,15,U.S. Senate,Cruz,R,119192,53.5
2024,15,U.S. Senate,Roche,W,14,0.0
2024,16,President,Harris,D,133337,57.4
2024,16,President,Oliver,L,1349,0.6
2024,16,President,Stein,G,1523,0.7
2024,16,President,Trump,R,95430,41.1
2024,16,President,Write-In,W,606,0.3
2024,16,U.S. Senate,Allred,D,131764,58.4
2024,16,U.S. Senate,Andrus,W,0,0.0
2024,16,U.S. Senate,Brown,L,9327,4.1
2024,16,U.S. Senate,Cruz,R,84698,37.5
2024,16,U.S. Senate,Roche,W,0,0.0
2024,17,President,Harris,D,123083,38.5
2024,17,President,Oliver,L,2246,0.7
2024,17,President,Stein,G,1964,0.6
2024,17,President,Trump,R,191816,59.9
2024,17,President,Write-In,W,933,0.3
2024,17,U.S. Senate,Allred,D,127632,40.1
