year,district,office,candidate,party,votes,percentage
2024,STATE,President,Harris,D,4835134,42.4
2024,STATE,President,Oliver,L,68563,0.6
2024,STATE,President,Stein,G,82698,0.7
2024,STATE,President,Trump,R,6393403,56.1
2024,STATE,President,Write-In,W,24730,0.2
2024,STATE,U.S. Senate,Allred,D,5031142,44.6
2024,STATE,U.S. Senate,Andrus,W,534,0.0
2024,STATE,U.S. Senate,Brown,L,266944,2.4
2024,STATE,U.S. Senate,Cruz,R,5990637,53.1
2024,STATE,U.S. Senate,Roche,W,976,0.0
2024,1,President,Harris,D,18182,21.8
2024,1,President,Oliver,L,270,0.3
2024,1,President,Stein,G,149,0.2
2024,1,President,Trump,R,64633,77.5
2024,1,President,Write-In,W,147,0.2
2024,1,U.S. Senate,Allred,D,18707,22.7
2024,1,U.S. Senate,Andrus,W,0,0.0
2024,1,U.S. Senate,Brown,L,1228,1.5
2024,1,U.S. Senate,Cruz,R,62606,75.8
2024,1,U.S. Senate,Roche,W,0,0.0
2024,2,President,Harris,D,16579,18.1
2024,2,President,Oliver,L,400,0.4
2024,2,President,Stein,G,190,0.2
2024,2,President,Trump,R,74242,81.2
2024,2,President,Write-In,W,50,0.1
2024,2,U.S. Senate,Allred,D,18047,19.8
2024,2,U.S. Senate,Andrus,W,5,0.0
2024,2,U.S. Senate,Brown,L,1725,1.9
2024,2,U.S. Senate,Cruz,R,71246,78.3
2024,2,U.S. Senate,Roche,W,18,0.0
2024,3,President,Harris,D,22704,23.8
2024,3,President,Oliver,L,505,0.5
2024,3,President,Stein,G,381,0.4
2024,3,President,Trump,R,71615,75.2
2024,3,President,Write-In,W,28,0.0
2024,3,U.S. Senate,Allred,D,24212,25.5
2024,3,U.S. Senate,Andrus,W,5,0.0
2024,3,U.S. Senate,Brown,L,1829,1.9
2024,3,U.S. Senate,Cruz,R,68880,72.6
2024,3,U.S. Senate,Roche,W,8,0.0
2024,4,President,Harris,D,29037,32.0
2024,4,President,Oliver,L,415,0.5
2024,4,President,Stein,G,300,0.3
2024,4,President,Trump,R,60763,67.0
2024,4,President,Write-In,W,218,0.2
2024,4,U.S. Senate,Allred,D,30912,34.4
2024,4,U.S. Senate,Andrus,W,0,0.0
2024,4,U.S. Senate,Brown,L,1827,2.0
2024,4,U.S. Senate,Cruz,R,57022,63.5
2024,4,U.S. Senate,Roche,W,0,0.0
2024,5,President,Harris,D,15177,17.3
2024,5,President,Oliver,L,388,0.4
2024,5,President,Stein,G,184,0.2
2024,5,President,Trump,R,71937,81.9
2024,5,President,Write-In,W,105,0.1
2024,5,U.S. Senate,Allred,D,15902,18.2
2024,5,U.S. Senate,Andrus,W,4,0.0
2024,5,U.S. Senate,Brown,L,1642,1.9
2024,5,U.S. Senate,Cruz,R,69759,79.9
2024,5,U.S. Senate,Roche,W,13,0.0
