year,district,office,candidate,party,votes,percentage
2024,STATE,President,Harris,D,4835134,42.4
2024,STATE,President,Oliver,L,68563,0.6
2024,STATE,President,Stein,G,82698,0.7
2024,STATE,President,Trump,R,6393403,56.1
2024,STATE,President,Write-In,W,24730,0.2
2024,STATE,U.S. Senate,Allred,D,5031142,44.6
2024,STATE,U.S. Senate,Andrus,W,534,0.0
2024,STATE,U.S. Senate,Brown,L,266944,2.4
2024,STATE,U.S. Senate,Cruz,R,5990637,53.1
2024,STATE,U.S. Senate,Roche,W,976,0.0
2024,1,President,Harris,D,90867,22.5
2024,1,President,Oliver,L,1754,0.4
2024,1,President,Stein,G,988,0.2
2024,1,President,Trump,R,309025,76.6
2024,1,President,Write-In,W,673,0.2
2024,1,U.S. Senate,Allred,D,94045,23.5
2024,1,U.S. Senate,Andrus,W,76,0.0
2024,1,U.S. Senate,Brown,L,7108,1.8
2024,1,U.S. Senate,Cruz,R,299125,74.7
2024,1,U.S. Senate,Roche,W,34,0.0
2024,2,President,Harris,D,158003,39.0
2024,2,President,Oliver,L,2367,0.6
2024,2,President,Stein,G,3333,0.8
2024,2,President,Trump,R,240447,59.3
2024,2,President,Write-In,W,1489,0.4
2024,2,U.S. Senate,Allred,D,167663,41.8
2024,2,U.S. Senate,Andrus,W,8,0.0
2024,2,U.S. Senate,Brown,L,8241,2.1
2024,2,U.S. Senate,Cruz,R,225497,56.2
2024,2,U.S. Senate,Roche,W,9,0.0
2024,3,President,Harris,D,91399,23.3
2024,3,President,Oliver,L,1503,0.4
2024,3,President,Stein,G,906,0.2
2024,3,President,Trump,R,297515,75.9
2024,3,President,Write-In,W,426,0.1
2024,3,U.S. Senate,Allred,D,95043,24.5
2024,3,U.S. Senate,Andrus,W,11,0.0
2024,3,U.S. Senate,Brown,L,6768,1.7
2024,3,U.S. Senate,Cruz,R,286254,73.8
2024,3,U.S. Senate,Roche,W,23,0.0
2024,4,President,Harris,D,137852,32.4
2024,4,President,Oliver,L,2425,0.6
2024,4,President,Stein,G,1921,0.5
2024,4,President,Trump,R,283693,66.6
2024,4,President,Write-In,W,205,0.0
2024,4,U.S. Senate,Allred,D,144494,34.0
2024,4,U.S. Senate,Andrus,W,27,0.0
2024,4,U.S. Senate,Brown,L,8959,2.1
2024,4,U.S. Senate,Cruz,R,270977,63.8
2024,4,U.S. Senate,Roche,W,54,0.0
2024,5,President,Harris,D,162229,37.6
2024,5,President,Oliver,L,3081,0.7
2024,5,President,Stein,G,2381,0.6
2024,5,President,Trump,R,262437,60.9
2024,5,President,Write-In,W,1126,0.3
2024,5,U.S. Senate,Allred,D,166826,39.0
2024,5,U.S. Senate,Andrus,W,4,0.0
2024,5,U.S. Senate,Brown,L,11075,2.6
2024,5,U.S. Senate,Cruz,R,249558,58.4
