year,district,office,candidate,party,votes,percentage
2020,11,President,Write-In,W,310,0.1
2020,11,U.S. Senate,Cornyn,R,230030,59.0
2020,11,U.S. Senate,Hegar,D,149641,38.4
2020,11,U.S. Senate,McKennon,L,7466,1.9
2020,11,U.S. Senate,Collins,G,2435,0.6
2020,11,Railroad Commissioner,Castaneda,D,146511,38.1
2020,12,President,Biden,D,199086,43.3
2020,12,President,Trump,R,253764,55.2
2020,12,President,Jorgensen,L,5633,1.2
2020,12,President,Hawkins,G,1123,0.2
2020,12,President,Write-In,W,180,0.0
2020,12,U.S. Senate,Cornyn,R,268306,58.7
2020,12,U.S. Senate,Hegar,D,178040,39.0
2020,12,U.S. Senate,McKennon,L,7999,1.8
2020,12,U.S. Senate,Collins,G,2569,0.6
2020,12,Railroad Commissioner,Castaneda,D,172197,38.3
2020,13,President,Biden,D,226746,78.1
2020,13,President,Trump,R,60286,20.8
2020,13,President,Jorgensen,L,2003,0.7
2020,13,President,Hawkins,G,1051,0.4
2020,13,President,Write-In,W,186,0.1
2020,13,U.S. Senate,Cornyn,R,61689,21.8
2020,13,U.S. Senate,Hegar,D,213682,75.5
2020,13,U.S. Senate,McKennon,L,4753,1.7
2020,13,U.S. Senate,Collins,G,2824,1.0
2020,13,Railroad Commissioner,Castaneda,D,212501,75.9
2020,14,President,Biden,D,345920,74.4
2020,14,President,Trump,R,108857,23.4
2020,14,President,Jorgensen,L,6892,1.5
2020,14,President,Hawkins,G,1611,0.3
2020,14,President,Write-In,W,1685,0.4
2020,14,U.S. Senate,Cornyn,R,120986,26.4
2020,14,U.S. Senate,Hegar,D,325020,71.0
2020,14,U.S. Senate,McKennon,L,8866,1.9
2020,14,U.S. Senate,Collins,G,3051,0.7
2020,14,Railroad Commissioner,Castaneda,D,310792,69.4
2020,15,President,Biden,D,230947,64.9
2020,15,President,Trump,R,119685,33.6
2020,15,President,Jorgensen,L,3935,1.1
2020,15,President,Hawkins,G,1136,0.3
2020,15,President,Write-In,W,14,0.0
2020,15,U.S. Senate,Cornyn,R,127722,36.4
2020,15,U.S. Senate,Hegar,D,214628,61.1
2020,15,U.S. Senate,McKennon,L,6209,1.8
2020,15,U.S. Senate,Collins,G,2675,0.8
2020,15,Railroad Commissioner,Castaneda,D,209571,60.6
2020,16,President,Biden,D,187870,64.4
2020,16,President,Trump,R,99542,34.1
2020,16,President,Jorgensen,L,3279,1.1
2020,16,President,Hawkins,G,1157,0.4
2020,16,President,Write-In,W,0,0.0
2020,16,U.S. Senate,Cornyn,R,107649,37.0
2020,16,U.S. Senate,Hegar,D,175219,60.3
2020,16,U.S. Senate,McKennon,L,5261,1.8
2020,16,U.S. Senate,Collins,G,2604,0.9
2020,16,Railroad Commissioner,Castaneda,D,174733,60.6
2020,17,President,Biden,D,159728,40.7
2020,17,President,Trump,R,227577,57.9
2020,17,President,Jorgensen,L,4020,1.0
2020,17,President,Hawkins,G,971,0.2
2020,17,President,Write-In,W,451,0.1
2020,17,U.S. Senate,Cornyn,R,233404,60.3
2020,17,U.S. Senate,Hegar,D,145246,37.6
2020,17,U.S. Senate,McKennon,L,6119,1.6
2020,17,U.S. Senate,Collins,G,2003,0.5
2020,17,Railroad Commissioner,Castaneda,D,140655,36.9
2020,18,President,Biden,D,154983,39.5
2020,18,President,Trump,R,232105,59.2
2020,18,President,Jorgensen,L,3314,0.8
2020,18,President,Hawkins,G,1091,0.3
2020,18,President,Write-In,W,536,0.1
2020,18,U.S. Senate,Cornyn,R,231414,60.4
2020,18,U.S. Senate,Hegar,D,143889,37.5
2020,18,U.S. Senate,McKennon,L,5932,1.5
2020,18,U.S. Senate,Collins,G,2108,0.5
2020,18,Railroad Commissioner,Castaneda,D,141688,37.4
2020,19,President,Biden,D,175552,55.8
2020,19,President,Trump,R,134463,42.7
2020,19,President,Jorgensen,L,3275,1.0
2020,19,President,Hawkins,G,1107,0.4
2020,19,President,Write-In,W,202,0.1
2020,19,U.S. Senate,Cornyn,R,133844,43.8
2020,19,U.S. Senate,Hegar,D,162862,53.3
2020,19,U.S. Senate,McKennon,L,6159,2.0
2020,19,U.S. Senate,Collins,G,2949,1.0
2020,19,Railroad Commissioner,Castaneda,D,165205,54.5
2020,20,President,Biden,D,144904,54.3
2020,20,President,Trump,R,118940,44.6
2020,20,President,Jorgensen,L,2013,0.8
2020,20,President,Hawkins,G,871,0.3
2020,20,President,Write-In,W,218,0.1
2020,20,U.S. Senate,Cornyn,R,114578,44.5
2020,20,U.S. Senate,Hegar,D,134396,52.2
2020,20,U.S. Senate,McKennon,L,5640,2.2
2020,20,U.S. Senate,Collins,G,2911,1.1
2020,20,Railroad Commissioner,Castaneda,D,138148,54.6
2020,21,President,Biden,D,174822,57.7
2020,21,President,Trump,R,123149,40.7
2020,21,President,Jorgensen,L,3283,1.1
2020,21,President,Hawkins,G,1134,0.4
2020,21,President,Write-In,W,474,0.2
2020,21,U.S. Senate,Cornyn,R,117050,40.0
2020,21,U.S. Senate,Hegar,D,165699,56.6
2020,21,U.S. Senate,McKennon,L,6504,2.2
2020,21,U.S. Senate,Collins,G,3505,1.2
2020,21,Railroad Commissioner,Castaneda,D,164812,57.2
2020,22,President,Biden,D,147821,38.3
2020,22,President,Trump,R,232500,60.2
2020,22,President,Jorgensen,L,4350,1.1
2020,22,President,Hawkins,G,1051,0.3
2020,22,President,Write-In,W,464,0.1
