year,district,office,candidate,party,votes,percentage
2018,12,U.S. Senate,Cruz,R,42707,70.4
2018,12,U.S. Senate,O'Rourke,D,17488,28.8
2018,12,U.S. Senate,Dikeman,L,435,0.7
2018,12,Governor,Abbott,R,44537,73.6
2018,12,Governor,Valdez,D,15193,25.1
2018,12,Governor,Tippetts,L,820,1.4
2018,12,Lieutenant Governor,Patrick,R,41318,68.5
2018,12,Lieutenant Governor,Collier,D,17830,29.5
2018,12,Lieutenant Governor,McKennon,L,1194,2.0
2018,12,Attorney General,Paxton,R,41565,69.2
2018,13,U.S. Senate,Cruz,R,39131,70.5
2018,13,U.S. Senate,O'Rourke,D,16007,28.9
2018,13,U.S. Senate,Dikeman,L,330,0.6
2018,13,Governor,Abbott,R,40588,73.2
2018,13,Governor,Valdez,D,14310,25.8
2018,13,Governor,Tippetts,L,560,1.0
2018,13,Lieutenant Governor,Patrick,R,37526,68.0
2018,13,Lieutenant Governor,Collier,D,16719,30.3
2018,13,Lieutenant Governor,McKennon,L,913,1.7
2018,13,Attorney General,Paxton,R,37878,68.8
2018,14,U.S. Senate,Cruz,R,28748,53.3
2018,14,U.S. Senate,O'Rourke,D,24593,45.6
2018,14,U.S. Senate,Dikeman,L,551,1.0
2018,14,Governor,Abbott,R,31818,59.4
2018,14,Governor,Valdez,D,20559,38.4
2018,14,Governor,Tippetts,L,1220,2.3
2018,14,Lieutenant Governor,Patrick,R,28663,53.9
2018,14,Lieutenant Governor,Collier,D,22721,42.7
2018,14,Lieutenant Governor,McKennon,L,1788,3.4
2018,14,Attorney General,Paxton,R,28743,54.2
2018,15,U.S. Senate,Cruz,R,44053,63.7
2018,15,U.S. Senate,O'Rourke,D,24515,35.5
2018,15,U.S. Senate,Dikeman,L,568,0.8
2018,15,Governor,Abbott,R,47524,68.8
2018,15,Governor,Valdez,D,20402,29.6
2018,15,Governor,Tippetts,L,1103,1.6
2018,15,Lieutenant Governor,Patrick,R,44555,64.7
2018,15,Lieutenant Governor,Collier,D,22773,33.1
2018,15,Lieutenant Governor,McKennon,L,1518,2.2
2018,15,Attorney General,Paxton,R,43752,63.7
2018,16,U.S. Senate,Cruz,R,44109,77.4
2018,16,U.S. Senate,O'Rourke,D,12471,21.9
2018,16,U.S. Senate,Dikeman,L,405,0.7
2018,16,Governor,Abbott,R,45739,80.0
2018,16,Governor,Valdez,D,10712,18.7
2018,16,Governor,Tippetts,L,696,1.2
2018,16,Lieutenant Governor,Patrick,R,43873,77.0
2018,16,Lieutenant Governor,Collier,D,12136,21.3
2018,16,Lieutenant Governor,McKennon,L,992,1.7
2018,16,Attorney General,Paxton,R,43519,76.5
2018,17,U.S. Senate,Cruz,R,36702,61.9
2018,17,U.S. Senate,O'Rourke,D,22055,37.2
2018,17,U.S. Senate,Dikeman,L,570,1.0
2018,17,Governor,Abbott,R,39058,65.9
2018,17,Governor,Valdez,D,19117,32.2
2018,17,Governor,Tippetts,L,1105,1.9
2018,17,Lieutenant Governor,Patrick,R,35954,60.9
2018,17,Lieutenant Governor,Collier,D,21552,36.5
2018,17,Lieutenant Governor,McKennon,L,1529,2.6
2018,17,Attorney General,Paxton,R,35340,60.0
2018,18,U.S. Senate,Cruz,R,45938,81.8
2018,18,U.S. Senate,O'Rourke,D,9927,17.7
2018,18,U.S. Senate,Dikeman,L,284,0.5
2018,18,Governor,Abbott,R,46931,83.7
2018,18,Governor,Valdez,D,8610,15.4
