year,district,office,candidate,party,votes,percentage
2020,STATE,President,Biden,D,5257513,46.5
2020,STATE,President,Trump,R,5889022,52.0
2020,STATE,President,Jorgensen,L,126212,1.1
2020,STATE,President,Hawkins,G,33378,0.3
2020,STATE,President,Write-In,W,10927,0.1
2020,STATE,U.S. Senate,Cornyn,R,5961643,53.5
2020,STATE,U.S. Senate,Hegar,D,4887309,43.9
2020,STATE,U.S. Senate,McKennon,L,209623,1.9
2020,STATE,U.S. Senate,Collins,G,81753,0.7
2020,STATE,Railroad Commissioner,Castaneda,D,4791167,43.6
2020,1,President,Biden,D,89084,27.5
2020,1,President,Trump,R,230986,71.3
2020,1,President,Jorgensen,L,3087,1.0
2020,1,President,Hawkins,G,694,0.2
2020,1,President,Write-In,W,153,0.0
2020,1,U.S. Senate,Cornyn,R,229999,71.6
2020,1,U.S. Senate,Hegar,D,85313,26.6
2020,1,U.S. Senate,McKennon,L,4613,1.4
2020,1,U.S. Senate,Collins,G,1316,0.4
2020,1,Railroad Commissioner,Castaneda,D,81379,25.5
2020,2,President,Biden,D,125217,39.3
2020,2,President,Trump,R,189106,59.3
2020,2,President,Jorgensen,L,3750,1.2
2020,2,President,Hawkins,G,841,0.3
2020,2,President,Write-In,W,66,0.0
2020,2,U.S. Senate,Cornyn,R,191799,60.8
2020,2,U.S. Senate,Hegar,D,116097,36.8
2020,2,U.S. Senate,McKennon,L,5921,1.9
2020,2,U.S. Senate,Collins,G,1857,0.6
2020,2,Railroad Commissioner,Castaneda,D,113073,36.3
2020,3,President,Biden,D,136806,40.4
2020,3,President,Trump,R,195992,57.8
2020,3,President,Jorgensen,L,4308,1.3
2020,3,President,Hawkins,G,815,0.2
2020,3,President,Write-In,W,909,0.3
2020,3,U.S. Senate,Cornyn,R,199755,60.3
2020,3,U.S. Senate,Hegar,D,123598,37.3
2020,3,U.S. Senate,McKennon,L,6020,1.8
2020,3,U.S. Senate,Collins,G,1944,0.6
2020,3,Railroad Commissioner,Castaneda,D,119204,36.6
2020,4,President,Biden,D,143820,40.4
2020,4,President,Trump,R,207292,58.2
2020,4,President,Jorgensen,L,3654,1.0
2020,4,President,Hawkins,G,782,0.2
2020,4,President,Write-In,W,845,0.2
2020,4,U.S. Senate,Cornyn,R,213326,60.9
2020,4,U.S. Senate,Hegar,D,130012,37.1
2020,4,U.S. Senate,McKennon,L,5446,1.6
2020,4,U.S. Senate,Collins,G,1703,0.5
2020,4,Railroad Commissioner,Castaneda,D,124347,36.1
2020,5,President,Biden,D,117758,41.3
2020,5,President,Trump,R,163933,57.5
2020,5,President,Jorgensen,L,2722,1.0
2020,5,President,Hawkins,G,839,0.3
2020,5,President,Write-In,W,64,0.0
2020,5,U.S. Senate,Cornyn,R,166812,58.7
2020,5,U.S. Senate,Hegar,D,110460,38.9
2020,5,U.S. Senate,McKennon,L,4639,1.6
2020,5,U.S. Senate,Collins,G,2090,0.7
2020,5,Railroad Commissioner,Castaneda,D,109411,38.8
2020,6,President,Biden,D,118557,39.5
2020,6,President,Trump,R,177313,59.0
2020,6,President,Jorgensen,L,3357,1.1
2020,6,President,Hawkins,G,846,0.3
2020,6,President,Write-In,W,325,0.1
2020,6,U.S. Senate,Cornyn,R,179660,60.2
2020,6,U.S. Senate,Hegar,D,110836,37.2
2020,6,U.S. Senate,McKennon,L,5606,1.9
2020,6,U.S. Senate,Collins,G,2093,0.7
2020,6,Railroad Commissioner,Castaneda,D,108164,36.6
2020,7,President,Biden,D,179573,65.6
2020,7,President,Trump,R,90201,32.9
2020,7,President,Jorgensen,L,2971,1.1
