year,district,office,candidate,party,votes,percentage
2024,76,State Representative,Simmons,R,30615,43.5
2024,77,State Representative,Perez,D,35427,100.0
2024,78,State Representative,Moody,D,45474,100.0
2024,79,State Representative,Ordaz Perez,D,41652,100.0
2024,80,State Representative,Castellano,D,21225,40.5
2024,80,State Representative,McLaughlin,R,31174,59.5
2024,81,State Representative,Landgraf,R,41552,100.0
2024,82,State Representative,Craddick,R,50546,82.7
2024,82,State Representative,Schafersman,D,10555,17.3
2024,83,State Representative,Burrows,R,69894,100.0
2024,84,State Representative,Lopez,D,20733,35.9
2024,84,State Representative,Tepper,R,37021,64.1
2024,85,State Representative,Kitzman,R,75040,100.0
2024,86,State Representative,Smithee,R,68942,100.0
2024,87,State Representative,Fairly,R,42317,79.2
2024,87,State Representative,Gassaway,D,11048,20.7
2024,87,State Representative,McGunegle,W,43,0.1
2024,88,State Representative,King,R,54093,100.0
2024,89,State Representative,Evans,D,36292,39.4
2024,89,State Representative,Noble,R,55900,60.6
2024,90,State Representative,Romero,D,35674,100.0
2024,91,State Representative,Lowe,R,53970,100.0
2024,92,State Representative,Bhojani,D,35274,100.0
2024,93,State Representative,Bojorquez,D,34871,39.4
2024,93,State Representative,Schatzline,R,53532,60.6
2024,94,State Representative,Tinderholt,R,43785,55.6
2024,94,State Representative,Wilkerson,D,34937,44.4
2024,95,State Representative,Collier,D,43827,100.0
2024,96,State Representative,Cook,R,48814,57.4
2024,96,State Representative,Turner,D,36276,42.6
2024,97,State Representative,McQueeney,R,51432,58.1
2024,97,State Representative,Walker,D,37132,41.9
2024,98,State Representative,Capriglione,R,64833,65.7
2024,98,State Representative,White,D,33845,34.3
2024,99,State Representative,Coffey,D,28233,37.2
2024,99,State Representative,Geren,R,47708,62.8
2024,100,State Representative,Jones,D,34119,100.0
2024,101,State Representative,Burgess,R,21781,35.1
2024,101,State Representative,Turner,D,40337,64.9
2024,102,State Representative,Ramos,D,35788,100.0
2024,103,State Representative,Anchia,D,40330,100.0
2024,104,State Representative,Gonzalez,D,33295,100.0
2024,105,State Representative,Cannaday,R,18928,45.3
2024,105,State Representative,Meza,D,22850,54.7
2024,106,State Representative,Johnston,D,39941,39.4
2024,106,State Representative,Patterson,R,61381,60.6
2024,107,State Representative,Garcia,D,29546,100.0
2024,108,State Representative,Ginsberg,D,44307,42.4
2024,108,State Representative,Meyer,R,60227,57.6
2024,109,State Representative,Davis,D,56138,100.0
2024,110,State Representative,Rose,D,30618,100.0
2024,111,State Representative,Davis,D,53039,100.0
2024,112,State Representative,Bishop,D,40645,46.1
2024,112,State Representative,Button,R,47456,53.9
2024,113,State Representative,Bowers,D,33547,56.6
2024,113,State Representative,Stanley,R,25732,43.4
2024,114,State Representative,Bryant,D,43554,62.8
2024,114,State Representative,Ramsey,R,25839,37.2
2024,115,State Representative,Garcia Hernandez,D,37692,54.3
2024,115,State Representative,Jun,R,31709,45.7
2024,116,State Representative,Crain,R,19596,34.0
2024,116,State Representative,Martinez Fischer,D,38044,66.0
2024,117,State Representative,Cortez,D,40066,58.0
2024,117,State Representative,Mostyn,R,29021,42.0
2024,118,State Representative,Carranza,D,36624,48.3
2024,118,State Representative,Lujan,R,39246,51.7
2024,119,State Representative,Campos,D,38160,63.7
2024,119,State Representative,Grable,R,21763,36.3
2024,120,State Representative,Gervin-Hawkins,D,38208,100.0
2024,121,State Representative,LaHood,R,51013,52.5
2024,121,State Representative,Swift,D,46104,47.5
2024,122,State Representative,Dorazio,R,64018,58.1
2024,122,State Representative,Geary,D,46180,41.9
2024,123,State Representative,Bernal,D,44043,100.0
2024,124,State Representative,Garcia,D,30345,61.5
2024,124,State Representative,Soto,R,18981,38.5
2024,125,State Representative,Lopez,D,48251,100.0
2024,126,State Representative,Harless,R,59749,99.0
2024,126,State Representative,Smith,W,616,1.0
2024,127,State Representative,Cunningham,R,55048,60.5
2024,127,State Representative,Lehr,D,35932,39.5
2024,128,State Representative,Cain,R,45372,68.2
2024,128,State Representative,Crews,D,19181,28.9
2024,128,State Representative,Hagan,L,1932,2.9
2024,129,State Representative,Paul,R,52419,60.8
2024,129,State Representative,Peterson,D,33758,39.2
2024,130,State Representative,Oliverson,R,63270,68.8
2024,130,State Representative,Robinson,D,28671,31.2
2024,131,State Representative,Allen,D,36948,100.0
2024,132,State Representative,Schofield,R,53928,58.8
2024,132,State Representative,West,D,37846,41.2
2024,133,State Representative,DeAyala,R,54283,100.0
2024,134,State Representative,Douglas,R,38480,38.7
2024,134,State Representative,Johnson,D,61037,61.3
2024,135,State Representative,Rosenthal,D,43114,100.0
2024,136,State Representative,Bucy,D,45185,62.0
2024,136,State Representative,Salahuddin,R,27665,38.0
2024,137,State Representative,Wu,D,19286,76.3
2024,137,State Representative,Sharp,L,5988,23.7
2024,138,State Representative,Hull,R,42022,57.0
2024,138,State Representative,Morales,D,31671,43.0
2024,139,State Representative,Ward Johnson,D,46196,100.0
2024,140,State Representative,Walle,D,22272,100.0
2024,141,State Representative,Thompson,D,32492,100.0
2024,142,State Representative,Dutton,D,41429,100.0
2024,143,State Representative,Hernandez,D,27796,100.0
2024,144,State Representative,Perez,D,26617,100.0
2024,145,State Representative,Morales,D,46104,100.0
2024,146,State Representative,Simmons,D,42840,77.7
2024,146,State Representative,York,R,12282,22.3
2024,147,State Representative,Gutierrez,R,16332,25.5
2024,147,State Representative,Jones,D,47828,74.5
2024,148,State Representative,Morales Shaw,D,28341,54.9
2024,148,State Representative,Smith,R,23246,45.1
2024,149,State Representative,Truong,R,20291,43.0
2024,149,State Representative,Vo,D,26921,57.0
2024,150,State Representative,Jimenez,D,32181,40.1
2024,150,State Representative,Swanson,R,48000,59.9
